Time,Open,High,Low,Last,Change,Volume
04/13/17 16:00,20456.05,20456.3,20453.25,20453.25,-2.25,23939352
04/13/17 15:00,20532.26,20537.98,20455.5,20455.5,-76.97,54298271
04/13/17 14:00,20496.2,20538.1,20493.64,20532.47,36.31,20953012
04/13/17 13:00,20530.65,20533.49,20482.34,20496.16,-34.46,24343621
04/13/17 12:00,20596.58,20596.58,20524.21,20530.62,-66.26,24878034
04/13/17 11:00,20596.17,20609.54,20581.29,20596.88,0.89,24047518
04/13/17 10:00,20585.74,20612.27,20576.88,20595.99,10.17,33205538
04/13/17 09:00,20561.69,20602.93,20530.37,20585.82,-6.04,26168579
2004-12-17 16:00,20587.87,20591.86,20587.87,20591.86,1.64,35899619
2004-12-17 15:00,20594.84,20609.52,20570.74,20590.22,-4.67,53779777
2004-12-17 14:00,20624.93,20632.1,20577.86,20594.89,-29.84,27345125
2004-12-17 13:00,20573.37,20626.72,20570.73,20624.73,51.16,24145684
2004-12-17 12:00,20576.15,20595.8,20564,20573.57,-2.78,23198716
2004-12-17 11:00,20595.26,20609.66,20553.03,20576.35,-18.53,33401366
2004-12-17 10:00,20620.84,20638.98,20586.91,20594.88,-26.18,36542771
2004-12-17 9:00,20637.95,20642.54,20608.96,20621.06,-30.24,28171241
2004-11-17 16:00,20653.19,20653.26,20651.3,20651.3,0.89,22777721
2004-11-17 15:00,20638.22,20653.33,20594.42,20650.41,12.18,48198531
2004-11-17 14:00,20630.03,20655.76,20599.54,20638.23,8.2,23461566
2004-11-17 13:00,20628.2,20659.61,20616.72,20630.03,2.08,23181712
2004-11-17 12:00,20565.83,20634.64,20554.76,20627.95,62.19,24660056
2004-11-17 11:00,20537.17,20572.93,20527.95,20565.76,28.45,32851220
2004-11-17 10:00,20624.3,20634.76,20512.56,20537.31,-87,49375902
2004-11-17 9:00,20644.32,20660.03,20585.42,20624.31,-33.71,26791281
2004-10-17 16:00,20656.85,20658.02,20656.78,20658.02,0.97,42335181
2004-10-17 15:00,20698.83,20713.25,20645.81,20657.05,-41.91,46643735
2004-10-17 14:00,20711.35,20712.32,20669.59,20698.96,-12.58,21148972
2004-10-17 13:00,20702.81,20725.57,20697.58,20711.54,8.66,16765881
2004-10-17 12:00,20666.97,20707.19,20614.86,20702.88,36.02,26558380
2004-10-17 11:00,20725.4,20735.89,20648.85,20666.86,-58.93,25826674
2004-10-17 10:00,20711.16,20750.33,20704.21,20725.79,12.78,28222225
2004-10-17 9:00,20668.22,20715.52,20662.18,20713.01,56.91,22699518
2004-07-17 16:00,20657.16,20657.22,20655.89,20656.1,-1.4,27678227
2004-07-17 15:00,20677.25,20692.15,20652.88,20657.5,-19.86,45674455
2004-07-17 14:00,20707.83,20726.07,20675.93,20677.36,-30.58,21588770
2004-07-17 13:00,20682.62,20725.27,20670.7,20707.94,25.25,22877190
2004-07-17 12:00,20663.21,20684.72,20663.07,20682.69,19.51,20071665
2004-07-17 11:00,20650.82,20670.03,20632.05,20663.18,12.42,25980280
2004-07-17 10:00,20617.6,20679.34,20606.95,20650.76,32.89,28838428
2004-07-17 9:00,20647.81,20693,20613.64,20617.87,-45.08,23983298
2004-06-17 16:00,20664.45,20664.45,20662.88,20662.95,-1.47,41319622
2004-06-17 15:00,20653.28,20679.14,20650.44,20664.42,11.14,54585174
2004-06-17 14:00,20715.03,20721.89,20645.29,20653.28,-61.81,24318190
2004-06-17 13:00,20691.94,20746.46,20689.37,20715.09,23.41,20232160
2004-06-17 12:00,20706.49,20713.35,20676.75,20691.68,-14.64,19729787
2004-06-17 11:00,20679.49,20718.45,20676.14,20706.32,26.58,22858222
2004-06-17 10:00,20675.55,20709.51,20653.67,20679.74,4.67,36273716
2004-06-17 9:00,20653.77,20682.06,20612.17,20675.07,26.92,30685546
2004-05-17 16:00,20647.06,20648.29,20646.99,20648.15,-1.28,24333862
2004-05-17 15:00,20755.95,20775.49,20639.55,20649.43,-106.53,70358046
2004-05-17 14:00,20853.99,20853.99,20748.55,20755.96,-97.8,32690756
2004-05-17 13:00,20843.74,20865.79,20843.45,20853.76,9.43,23492950
2004-05-17 12:00,20820.9,20853.91,20818.95,20844.33,23.33,20589322
2004-05-17 11:00,20859.73,20865.27,20790.31,20821,-38.69,30882970
2004-05-17 10:00,20837.37,20887.5,20824.31,20859.69,22.82,42766944
2004-05-17 9:00,20745.06,20839.49,20745.06,20836.87,147.63,34077198
2004-04-17 16:00,20687.57,20689.38,20687.57,20689.24,1.71,23894660
2004-04-17 15:00,20668.46,20694.11,20656.92,20687.53,19.07,50495167
2004-04-17 14:00,20674.22,20692.5,20668.25,20668.46,-5.41,26402824
2004-04-17 13:00,20653.66,20676.03,20646.66,20673.87,20.22,18238216
2004-04-17 12:00,20690.94,20694.7,20648.7,20653.65,-37.46,24767242
2004-04-17 11:00,20652.46,20701.29,20649.08,20691.11,38.56,28551524
2004-04-17 10:00,20641.32,20662.31,20605.3,20652.55,11.33,37153120
2004-04-17 9:00,20634.94,20651.88,20622.79,20641.22,-8.99,25443511
2004-03-17 16:00,20652.47,20652.79,20650.21,20650.21,-1.2,42216826
2004-03-17 15:00,20635.27,20667.77,20630.52,20651.41,15.77,51475856
2004-03-17 14:00,20598.28,20643.73,20574.87,20635.64,37.6,26520903
2004-03-17 13:00,20592.85,20607.73,20578.33,20598.04,5.25,21926983
2004-03-17 12:00,20558.57,20592.79,20517.82,20592.79,33.98,26623583
2004-03-17 11:00,20587.3,20603.89,20546.22,20558.81,-28.38,39379318
2004-03-17 10:00,20670.15,20677.56,20583.84,20587.19,-81.69,43288446
2004-03-17 9:00,20665.17,20692.34,20664.11,20668.88,5.66,32749748
03/31/17 16:00,20662.26,20663.49,20661.92,20663.22,-0.75,68943979
03/31/17 15:00,20669.51,20718.8,20660.87,20663.97,-5.61,65244640
03/31/17 14:00,20697.52,20698.93,20660.68,20669.58,-28.21,27961974
03/31/17 13:00,20699.77,20722.59,20694.41,20697.79,-1.96,22485315
03/31/17 12:00,20689.64,20706.45,20687.64,20699.75,10.05,22078019
03/31/17 11:00,20686,20706.67,20681.15,20689.7,3.72,30655236
03/31/17 10:00,20680.66,20707.76,20676.74,20685.98,5.39,38847059
03/31/17 09:00,20696.44,20699.79,20678.53,20680.59,-47.9,25087330
03/30/17 16:00,20726.04,20728.52,20726.04,20728.49,3.09,43283836
03/30/17 15:00,20718.09,20738.96,20714.69,20725.4,7.18,57792306
03/30/17 14:00,20724.55,20738.96,20709.08,20718.22,-6.31,24149624
03/30/17 13:00,20691.63,20734.9,20688.87,20724.53,33.03,21359443
03/30/17 12:00,20703.25,20715.61,20671.95,20691.5,-11.82,22227627
03/30/17 11:00,20747.91,20753.71,20703.32,20703.32,-45.02,28745873
03/30/17 10:00,20676.92,20753.78,20676.41,20748.34,70.39,40543083
03/30/17 09:00,20661.38,20682.33,20643.6,20677.95,18.63,30405205
03/29/17 16:00,20661.1,20661.17,20659.32,20659.32,0.82,259482888
03/29/17 15:00,20673.99,20684.73,20652.64,20658.5,-15.39,53657449
03/29/17 14:00,20667.86,20682.84,20657.48,20673.89,6.08,25494878
